ID_ARTICOL,ARTICOL,DATA,CANTITATE,VAL_IESIRE_CU_TVA,VAL_IESIRE_FARA_TVA,VAL_INTRARE_FARA_TVA_STOC,TOTAL_DISCOUNT,FLAG_PROMOTIE,ADAOS,STOC,STOC_INITIAL,STOC_FINAL,RUPTURA_STOC
8687,VEL PITAR PAINE ALBA FELIATA 500 GR,02-Jan-23,188,900.52,757.59,642.960002,0,0,114.629998,531,,,0
6937,BANANE CALITATEA I.,02-Jan-23,68.044,530.06,486.29,441.453522,0,0,44.836478,202.512,,,0
21895,JACOBS KRONUNG CAFEA MACINATA 500 GR,02-Jan-23,1,29.99,25.2,18.6,0,0,6.6,198,,,0
7784,CLEMENTINE CALITATEA I,02-Jan-23,78.47,470.04,431.22,309.564148,0,0,121.655852,1175.383,,,0
8687,VEL PITAR PAINE ALBA FELIATA 500 GR,03-Jan-23,129,617.91,566.33,441.179991,0,0,125.150009,531,,,0
7784,CLEMENTINE CALITATEA I,03-Jan-23,132.292,792.48,727.06,521.891938,0,0,205.168062,1175.383,,,0
6937,BANANE CALITATEA I.,03-Jan-23,50.516,393.51,361.05,327.666979,0,0,33.383021,202.512,,,0
8687,VEL PITAR PAINE ALBA FELIATA 500 GR,04-Jan-23,109,522.11,478.52,372.780003,0,0,105.739997,531,,,0
6937,BANANE CALITATEA I.,04-Jan-23,112.884,898.42,824.24,764.012993,0,0,60.227007,202.512,,,0
7784,CLEMENTINE CALITATEA I,04-Jan-23,176.502,1057.27,970.01,696.300385,0,0,273.709615,1175.383,,,0
8687,VEL PITAR PAINE ALBA FELIATA 500 GR,05-Jan-23,125,598.75,548.81,427.499979,0,0,121.310021,531,,,0
8259,CARNE PORC LUCRU,05-Jan-23,61.708,986.7,905.2,822.567638,0,0,82.632362,9.954,,,0
6937,BANANE CALITATEA I.,05-Jan-23,108.46,866.62,795.05,775.751019,0,0,19.298981,202.512,,,0
21895,JACOBS KRONUNG CAFEA MACINATA 500 GR,05-Jan-23,1,30.59,28.06,18.6,0,0,9.46,198,,,0
7784,CLEMENTINE CALITATEA I,05-Jan-23,209.402,1254.3,1150.75,826.090895,0,0,324.659105,1175.383,,,0
8687,VEL PITAR PAINE ALBA FELIATA 500 GR,06-Jan-23,132,632.28,579.59,451.439988,0,0,128.150012,531,,,0
21895,JACOBS KRONUNG CAFEA MACINATA 500 GR,06-Jan-23,5,152.95,140.3,93,0,0,47.3,198,,,0
8259,CARNE PORC LUCRU,06-Jan-23,38.34,613.06,562.45,511.072201,0,0,51.377799,9.954,,,0
7784,CLEMENTINE CALITATEA I,06-Jan-23,209.73,1256.25,1152.52,827.384845,0,0,325.135155,1175.383,,,0
6937,BANANE CALITATEA I.,06-Jan-23,110.456,882.54,809.67,790.007183,0,0,19.662817,202.512,,,0
8259,CARNE PORC LUCRU,07-Jan-23,19.712,315.19,289.17,262.76096,0,0,26.40904,9.954,,,0
21895,JACOBS KRONUNG CAFEA MACINATA 500 GR,07-Jan-23,1,30.59,28.06,18.6,0,0,9.46,198,,,0
6937,BANANE CALITATEA I.,07-Jan-23,92.75,741.09,679.89,662.191263,0,0,17.698737,202.512,,,0
8687,VEL PITAR PAINE ALBA FELIATA 500 GR,07-Jan-23,125,598.75,548.82,427.500033,0,0,121.319967,531,,,0
7784,CLEMENTINE CALITATEA I,07-Jan-23,102.516,614.08,563.37,404.42562,0,0,158.94438,1175.383,,,0
7784,CLEMENTINE CALITATEA I,08-Jan-23,89.044,533.35,489.34,351.278581,0,0,138.061419,1175.383,,,0
6937,BANANE CALITATEA I.,08-Jan-23,78.86,630.06,578.02,562.673985,0,0,15.346015,202.512,,,0
8259,CARNE PORC LUCRU,08-Jan-23,14.344,229.35,210.42,191.20552,0,0,19.21448,9.954,,,0
8687,VEL PITAR PAINE ALBA FELIATA 500 GR,08-Jan-23,132,632.28,579.49,451.439991,0,0,128.050009,531,,,0
8687,VEL PITAR PAINE ALBA FELIATA 500 GR,09-Jan-23,97,469.73,430.92,331.740007,0,0,99.179993,531,,,0
