DATA,BRAND,CANTITATE,VAL_IESIRE_FARA_TVA,VAL_IESIRE_CU_TVA,TOTAL_DISCOUNT,RATA_DISCOUNT,ADAOS,STOC_INITIAL,STOC_FINAL,RUPTURA_STOC
1-Jan-24,LOREAL ROMANIA S.R.L.,,,,,0,0,25445,25445,0
2-Jan-24,LOREAL ROMANIA S.R.L.,,,,,0,0,25445,25445,0
3-Jan-24,LOREAL ROMANIA S.R.L.,630,33380.86,39723.42,1706.08,0.042948971,2599.1321,25445,24930,1
4-Jan-24,LOREAL ROMANIA S.R.L.,558,31198.15,37125.55,1790.15,0.048218814,2363.6818,24930,28907,0
5-Jan-24,LOREAL ROMANIA S.R.L.,607,32859.43,39102.68,1812.82,0.046360505,2609.0436,28907,28301,1
6-Jan-24,LOREAL ROMANIA S.R.L.,660,35869.21,42684.2,1842.3,0.04316117,2960.2636,28301,27643,1
7-Jan-24,LOREAL ROMANIA S.R.L.,571,30434.22,36216.58,1605.12,0.044320032,2461.7718,27643,27073,1
8-Jan-24,LOREAL ROMANIA S.R.L.,399,20782.65,24731.43,1355.07,0.054791413,1370.46,27073,26980,0
9-Jan-24,LOREAL ROMANIA S.R.L.,451,22602.22,26896.6,1445.9,0.053757724,1483.88,26980,26534,1
10-Jan-24,LOREAL ROMANIA S.R.L.,528,27959.61,33271.93,2073.55,0.062321302,2061.8205,26534,28721,1
11-Jan-24,LOREAL ROMANIA S.R.L.,529,28273.37,33645.1,1628.4,0.048399321,2052.9,28721,28190,0
12-Jan-24,LOREAL ROMANIA S.R.L.,632,33498.58,39863.56,1951.94,0.048965521,2438.71,28190,27557,1
13-Jan-24,LOREAL ROMANIA S.R.L.,886,47929.95,57036.28,2760.72,0.048402876,3456.15,27557,26671,1
14-Jan-24,LOREAL ROMANIA S.R.L.,924,49113.44,58444.82,3099.18,0.053027454,3354.06,26671,25747,0
15-Jan-24,LOREAL ROMANIA S.R.L.,611,33970.76,40425.24,1974.26,0.048837311,2459.66,25747,25132,1
16-Jan-24,LOREAL ROMANIA S.R.L.,619,32882.35,39129.73,2174.77,0.055578457,2104.21,25132,28962,1
17-Jan-24,LOREAL ROMANIA S.R.L.,548,27970.88,33285.61,2022.98,0.060776414,1771.4721,28962,28413,1
18-Jan-24,LOREAL ROMANIA S.R.L.,524,26826.2,31923.2,1803,0.0564793,1707.7714,28413,27888,1
19-Jan-24,LOREAL ROMANIA S.R.L.,557,30412.55,36190.83,2246.37,0.062070143,2146.79,27888,27331,1
20-Jan-24,LOREAL ROMANIA S.R.L.,707,36146.39,43014.03,2921.97,0.067930626,2270.39,27331,26624,1
21-Jan-24,LOREAL ROMANIA S.R.L.,723,35406.15,42133.6,2722.9,0.064625382,2406.24,26624,25901,1
22-Jan-24,LOREAL ROMANIA S.R.L.,435,21723.85,25851.38,1858.62,0.071896355,1323.25,25901,25548,1
23-Jan-24,LOREAL ROMANIA S.R.L.,447,23366.57,27806.33,1664,0.059842489,1715.87,25548,25113,1
24-Jan-24,LOREAL ROMANIA S.R.L.,706,35701.21,42484.43,2455.57,0.057799293,2575.79,25113,24410,1
25-Jan-24,LOREAL ROMANIA S.R.L.,366,18740.1,22300.77,1476.23,0.066196369,1222.88,24410,28587,0
26-Jan-24,LOREAL ROMANIA S.R.L.,517,27624.01,32872.68,1967.82,0.059861867,2018.4,28587,28071,1
27-Jan-24,LOREAL ROMANIA S.R.L.,701,35279.63,41982.98,2664.52,0.063466671,2474.36,28071,27370,1
28-Jan-24,LOREAL ROMANIA S.R.L.,575,31040.47,36938.19,2402.81,0.065049479,2105.44,27370,26795,1
29-Jan-24,LOREAL ROMANIA S.R.L.,386,20547.85,24452.09,1520.41,0.062179143,1434.42,26795,26498,1
30-Jan-24,LOREAL ROMANIA S.R.L.,395,20321.76,24183.07,1381.43,0.057123847,1528.56,26498,26109,1
31-Jan-24,LOREAL ROMANIA S.R.L.,886,44758.25,53263.38,1925.12,0.036143407,2199.73,26109,28480,1
1-Feb-24,LOREAL ROMANIA S.R.L.,433,24685.37,29375.42,1399.08,0.047627574,2632.4221,28480,28047,0
2-Feb-24,LOREAL ROMANIA S.R.L.,484,26898.82,32009.39,1434.22,0.044806227,2995.8721,28047,27563,0
3-Feb-24,LOREAL ROMANIA S.R.L.,722,43189.06,51394.59,2126.41,0.041374199,4852.04,27563,26836,1
4-Feb-24,LOREAL ROMANIA S.R.L.,651,36663.7,43629.97,1735.53,0.039778391,4153.77,26836,26185,1
5-Feb-24,LOREAL ROMANIA S.R.L.,440,24522.63,29181.71,1489.29,0.051035049,2441.92,26185,25745,1
6-Feb-24,LOREAL ROMANIA S.R.L.,451,26971,32095.35,1548.15,0.048235959,2814.3025,25745,25297,1
7-Feb-24,LOREAL ROMANIA S.R.L.,438,24944.75,29684.15,1159.05,0.03904609,2826.62,25297,29888,1
8-Feb-24,LOREAL ROMANIA S.R.L.,481,26042.25,30990.41,937.59,0.030254198,3222.48,29888,29341,1
9-Feb-24,LOREAL ROMANIA S.R.L.,602,32819.3,39054.85,1405.65,0.035991689,3720.83,29341,28735,1
10-Feb-24,LOREAL ROMANIA S.R.L.,768,44627.26,53106.4,2061.1,0.038810765,4983.51,28735,27967,1
11-Feb-24,LOREAL ROMANIA S.R.L.,671,38417.85,45717.34,1277.66,0.027946945,4720.17,27967,27296,1
12-Feb-24,LOREAL ROMANIA S.R.L.,499,28630.76,34070.62,1642.28,0.048202234,3047.6,27296,26796,0
13-Feb-24,LOREAL ROMANIA S.R.L.,498,27798.63,33080.31,1434.89,0.043375954,2951.82,26796,26234,0
14-Feb-24,LOREAL ROMANIA S.R.L.,475,29145.16,34682.73,1337.77,0.038571646,3274.92,26234,29667,0
15-Feb-24,LOREAL ROMANIA S.R.L.,557,32808.12,39041.43,1616.07,0.041393719,3528.99,29667,29109,1
16-Feb-24,LOREAL ROMANIA S.R.L.,589,32700.26,38913.11,1845.39,0.047423349,3407.72,29109,28520,0
17-Feb-24,LOREAL ROMANIA S.R.L.,740,44177.97,52571.71,2198.49,0.041818879,4722.27,28520,27780,1
