DATA,ID_ARTICOL,ARTICOL,CANTITATE,VAL_IESIRE_FARA_TVA,VAL_IESIRE_CU_TVA,VAL_INTRARE_CU_TVA,TOTAL_DISCOUNT,RATA_DISCOUNT,ADAOS,STOC_INITIAL,STOC_FINAL,RUPTURA_STOC
01-Jan-24,147807,LRP CICAPLAST B5+ BALSAM REPARATOR CALMANT CU INDICATII MULTIPLE 100 ML ,0,0,0,0,0,0,0,278,278,0
02-Jan-24,147807,LRP CICAPLAST B5+ BALSAM REPARATOR CALMANT CU INDICATII MULTIPLE 100 ML ,0,0,0,0,0,0,0,278,278,0
03-Jan-24,147807,LRP CICAPLAST B5+ BALSAM REPARATOR CALMANT CU INDICATII MULTIPLE 100 ML ,11,647,770,574.75,0,0,72.25,278,267,0
04-Jan-24,147807,LRP CICAPLAST B5+ BALSAM REPARATOR CALMANT CU INDICATII MULTIPLE 100 ML ,11,647.04,770,574.75,0,0,72.29,267,376,0
05-Jan-24,147807,LRP CICAPLAST B5+ BALSAM REPARATOR CALMANT CU INDICATII MULTIPLE 100 ML ,10,588.22,700,522.5,0,0,65.72,376,366,0
06-Jan-24,147807,LRP CICAPLAST B5+ BALSAM REPARATOR CALMANT CU INDICATII MULTIPLE 100 ML ,10,588.2,700,522.5,0,0,65.7,366,356,0
07-Jan-24,147807,LRP CICAPLAST B5+ BALSAM REPARATOR CALMANT CU INDICATII MULTIPLE 100 ML ,6,352.92,420,313.5,0,0,39.42,356,350,0
08-Jan-24,147807,LRP CICAPLAST B5+ BALSAM REPARATOR CALMANT CU INDICATII MULTIPLE 100 ML ,4,235.28,280,209,0,0,26.28,350,346,0
09-Jan-24,147807,LRP CICAPLAST B5+ BALSAM REPARATOR CALMANT CU INDICATII MULTIPLE 100 ML ,11,647.04,770,574.75,0,0,72.29,346,335,0
10-Jan-24,147807,LRP CICAPLAST B5+ BALSAM REPARATOR CALMANT CU INDICATII MULTIPLE 100 ML ,8,470.57,560,418,0,0,52.57,335,327,0
11-Jan-24,147807,LRP CICAPLAST B5+ BALSAM REPARATOR CALMANT CU INDICATII MULTIPLE 100 ML ,11,647.07,770,574.75,0,0,72.32,327,316,0
12-Jan-24,147807,LRP CICAPLAST B5+ BALSAM REPARATOR CALMANT CU INDICATII MULTIPLE 100 ML ,6,352.93,420,313.5,0,0,39.43,316,310,0
13-Jan-24,147807,LRP CICAPLAST B5+ BALSAM REPARATOR CALMANT CU INDICATII MULTIPLE 100 ML ,7,411.73,490,365.75,0,0,45.98,310,303,0
14-Jan-24,147807,LRP CICAPLAST B5+ BALSAM REPARATOR CALMANT CU INDICATII MULTIPLE 100 ML ,16,941.18,1120,836,0,0,105.18,303,287,0
15-Jan-24,147807,LRP CICAPLAST B5+ BALSAM REPARATOR CALMANT CU INDICATII MULTIPLE 100 ML ,14,823.47,980,731.5,0,0,91.97,287,273,0
16-Jan-24,147807,LRP CICAPLAST B5+ BALSAM REPARATOR CALMANT CU INDICATII MULTIPLE 100 ML ,7,411.8,490,365.75,0,0,46.05,273,266,0
17-Jan-24,147807,LRP CICAPLAST B5+ BALSAM REPARATOR CALMANT CU INDICATII MULTIPLE 100 ML ,8,470.58,560,418,0,0,52.58,266,258,0
18-Jan-24,147807,LRP CICAPLAST B5+ BALSAM REPARATOR CALMANT CU INDICATII MULTIPLE 100 ML ,13,764.7,910,679.25,0,0,85.45,258,245,0
19-Jan-24,147807,LRP CICAPLAST B5+ BALSAM REPARATOR CALMANT CU INDICATII MULTIPLE 100 ML ,9,529.4,630,470.25,0,0,59.15,245,236,0
20-Jan-24,147807,LRP CICAPLAST B5+ BALSAM REPARATOR CALMANT CU INDICATII MULTIPLE 100 ML ,7,411.75,490,365.75,0,0,46,236,229,0
21-Jan-24,147807,LRP CICAPLAST B5+ BALSAM REPARATOR CALMANT CU INDICATII MULTIPLE 100 ML ,19,1117.63,1330,992.75,0,0,124.88,229,210,0
22-Jan-24,147807,LRP CICAPLAST B5+ BALSAM REPARATOR CALMANT CU INDICATII MULTIPLE 100 ML ,2,117.64,140,104.5,0,0,13.14,210,208,0
23-Jan-24,147807,LRP CICAPLAST B5+ BALSAM REPARATOR CALMANT CU INDICATII MULTIPLE 100 ML ,11,647.04,770,574.75,0,0,72.29,208,197,0
24-Jan-24,147807,LRP CICAPLAST B5+ BALSAM REPARATOR CALMANT CU INDICATII MULTIPLE 100 ML ,10,588.23,700,522.5,0,0,65.73,197,187,0
