DATA,ID_ARTICOL,ARTICOL,CANTITATE,VAL_IESIRE_FARA_TVA,VAL_IESIRE_CU_TVA,VAL_INTRARE_FARA_TVA,TOTAL_DISCOUNT,RATA_DISCOUNT,ADAOS,STOC_INITIAL,STOC_FINAL,RUPTURA_STOC
01-Jan-24,144602,"CERAVE CREMA HIDRATANTA DE FATA SPF 50, TEN NORMAL-USCAT 52ml",0,0,0,0,0,0,0,84,84,0
01-Jan-24,118033,LRP LIPIKAR BAUME AP+M BALSAM TRIPLA ACTIUNE 400 ML,0,0,0,0,0,0,0,114,114,0
01-Jan-24,94871,CERAVE GEL DE CURATARE SPUMANT PIELE NORMAL-MIXTA 473ML,0,0,0,0,0,0,0,196,196,0
01-Jan-24,147808,LRP CICAPLAST B5+ BALSAM REPARATOR CALMANT CU INDICATII MULTIPLE 40 ML ,0,0,0,0,0,0,0,412,412,0
01-Jan-24,94869,CERAVE LOTIUNE HIDRATANTA PENTRU FATA SI CORP PIELE USCATA SI FOARTE USCATA 473ML,0,0,0,0,0,0,0,168,168,0
01-Jan-24,67277,LRP LIPIKAR GEL DE SPALARE PIELE SENSIBILA 750 ML (D),0,0,0,0,0,0,0,259,259,0
01-Jan-24,69344,VICHY DERCOS SAMPON ANTIMATREATA PAR NORMAL SPRE GRAS 200ML,0,0,0,0,0,0,0,346,346,0
01-Jan-24,67074,LRP EFFACLAR GEL SPUMANT PURIFIANT 400 ML,0,0,0,0,0,0,0,121,121,0
01-Jan-24,140755,LRP ANTHELIOS UV-MUNE FLUID INVIZIBIL SPF 50+ 50ML,0,0,0,0,0,0,0,16,16,0
01-Jan-24,181925,LRP EFFACLAR DUO+M CREMA CORECTOARE CU TRIPLA ACTIUNE 40 ML,0,0,0,0,0,0,0,353,353,0
01-Jan-24,67303,LRP ANTHELIOS XL SPRAY INVIZIBIL MATIFIANT SPF50+ 75 ML,0,0,0,0,0,0,0,14,14,0
01-Jan-24,147790,CERAVE GEL DE CURATARE SPUMANT ANTI-IMPERFECTIUNI 236 ML,0,0,0,0,0,0,0,196,196,0
01-Jan-24,147807,LRP CICAPLAST B5+ BALSAM REPARATOR CALMANT CU INDICATII MULTIPLE 100 ML ,0,0,0,0,0,0,0,278,278,0
02-Jan-24,69344,VICHY DERCOS SAMPON ANTIMATREATA PAR NORMAL SPRE GRAS 200ML,0,0,0,0,0,0,0,346,346,0
02-Jan-24,94869,CERAVE LOTIUNE HIDRATANTA PENTRU FATA SI CORP PIELE USCATA SI FOARTE USCATA 473ML,0,0,0,0,0,0,0,168,168,0
02-Jan-24,144602,"CERAVE CREMA HIDRATANTA DE FATA SPF 50, TEN NORMAL-USCAT 52ml",0,0,0,0,0,0,0,84,84,0
02-Jan-24,118033,LRP LIPIKAR BAUME AP+M BALSAM TRIPLA ACTIUNE 400 ML,0,0,0,0,0,0,0,114,114,0
02-Jan-24,67303,LRP ANTHELIOS XL SPRAY INVIZIBIL MATIFIANT SPF50+ 75 ML,0,0,0,0,0,0,0,14,14,0
02-Jan-24,140755,LRP ANTHELIOS UV-MUNE FLUID INVIZIBIL SPF 50+ 50ML,0,0,0,0,0,0,0,16,16,0
02-Jan-24,147807,LRP CICAPLAST B5+ BALSAM REPARATOR CALMANT CU INDICATII MULTIPLE 100 ML ,0,0,0,0,0,0,0,278,278,0
02-Jan-24,94871,CERAVE GEL DE CURATARE SPUMANT PIELE NORMAL-MIXTA 473ML,0,0,0,0,0,0,0,196,196,0
02-Jan-24,67277,LRP LIPIKAR GEL DE SPALARE PIELE SENSIBILA 750 ML (D),0,0,0,0,0,0,0,259,259,0
02-Jan-24,147790,CERAVE GEL DE CURATARE SPUMANT ANTI-IMPERFECTIUNI 236 ML,0,0,0,0,0,0,0,196,196,0
02-Jan-24,181925,LRP EFFACLAR DUO+M CREMA CORECTOARE CU TRIPLA ACTIUNE 40 ML,0,0,0,0,0,0,0,353,353,0
02-Jan-24,147808,LRP CICAPLAST B5+ BALSAM REPARATOR CALMANT CU INDICATII MULTIPLE 40 ML ,0,0,0,0,0,0,0,412,412,0
02-Jan-24,67074,LRP EFFACLAR GEL SPUMANT PURIFIANT 400 ML,0,0,0,0,0,0,0,121,121,0
03-Jan-24,69344,VICHY DERCOS SAMPON ANTIMATREATA PAR NORMAL SPRE GRAS 200ML,24,992.21,1180.8,1105.92,295.2,0.25,-113.71,346,322,0
03-Jan-24,144602,"CERAVE CREMA HIDRATANTA DE FATA SPF 50, TEN NORMAL-USCAT 52ml",7,388.21,462,333.95,0,0,54.26,84,77,0
03-Jan-24,67074,LRP EFFACLAR GEL SPUMANT PURIFIANT 400 ML,2,138.65,165,123.5,0,0,15.15,121,119,0
03-Jan-24,181925,LRP EFFACLAR DUO+M CREMA CORECTOARE CU TRIPLA ACTIUNE 40 ML,12,766.39,912,684,0,0,82.39,353,341,0
03-Jan-24,147807,LRP CICAPLAST B5+ BALSAM REPARATOR CALMANT CU INDICATII MULTIPLE 100 ML ,11,647,770,574.75,0,0,72.25,278,267,0
03-Jan-24,140755,LRP ANTHELIOS UV-MUNE FLUID INVIZIBIL SPF 50+ 50ML,1,72.69,86.5,64.6,0,0,8.09,16,45,0
03-Jan-24,94871,CERAVE GEL DE CURATARE SPUMANT PIELE NORMAL-MIXTA 473ML,10,512.6,610,456,0,0,56.6,196,186,0
03-Jan-24,118033,LRP LIPIKAR BAUME AP+M BALSAM TRIPLA ACTIUNE 400 ML,6,443.7,528,493.08,132,0.25,-49.38,114,108,0
03-Jan-24,67303,LRP ANTHELIOS XL SPRAY INVIZIBIL MATIFIANT SPF50+ 75 ML,1,53.36,63.5,47.5,0,0,5.86,14,13,0
03-Jan-24,67277,LRP LIPIKAR GEL DE SPALARE PIELE SENSIBILA 750 ML (D),14,685.03,815.21,718.2,143.79,0.176383999,-33.17,259,245,0
03-Jan-24,147808,LRP CICAPLAST B5+ BALSAM REPARATOR CALMANT CU INDICATII MULTIPLE 40 ML ,12,448.68,534,399,0,0,49.68,412,400,0
03-Jan-24,147790,CERAVE GEL DE CURATARE SPUMANT ANTI-IMPERFECTIUNI 236 ML,21,864.78,1029,768.18,0,0,96.6,196,175,0
03-Jan-24,94869,CERAVE LOTIUNE HIDRATANTA PENTRU FATA SI CORP PIELE USCATA SI FOARTE USCATA 473ML,10,571.46,680,508.3,0,0,63.16,168,158,0
04-Jan-24,67277,LRP LIPIKAR GEL DE SPALARE PIELE SENSIBILA 750 ML (D),10,489.31,582.29,513,102.71,0.176389771,-23.69,245,235,0
04-Jan-24,67074,LRP EFFACLAR GEL SPUMANT PURIFIANT 400 ML,4,277.31,330,247,0,0,30.31,119,195,0
04-Jan-24,118033,LRP LIPIKAR BAUME AP+M BALSAM TRIPLA ACTIUNE 400 ML,7,517.64,616,493.0882,154,0.25,24.5518,108,121,0
04-Jan-24,181925,LRP EFFACLAR DUO+M CREMA CORECTOARE CU TRIPLA ACTIUNE 40 ML,15,957.99,1140,855,0,0,102.99,341,476,0
04-Jan-24,140755,LRP ANTHELIOS UV-MUNE FLUID INVIZIBIL SPF 50+ 50ML,3,218.06,259.5,193.8,0,0,24.26,45,42,0
04-Jan-24,147790,CERAVE GEL DE CURATARE SPUMANT ANTI-IMPERFECTIUNI 236 ML,18,741.23,882,658.44,0,0,82.79,175,257,0
04-Jan-24,67303,LRP ANTHELIOS XL SPRAY INVIZIBIL MATIFIANT SPF50+ 75 ML,0,0,0,0,0,0,0,13,28,0
04-Jan-24,144602,"CERAVE CREMA HIDRATANTA DE FATA SPF 50, TEN NORMAL-USCAT 52ml",8,443.69,528,395.2,0,0,48.49,77,119,0
04-Jan-24,69344,VICHY DERCOS SAMPON ANTIMATREATA PAR NORMAL SPRE GRAS 200ML,17,702.82,836.4,783.36,209.1,0.25,-80.54,322,329,0
04-Jan-24,147808,LRP CICAPLAST B5+ BALSAM REPARATOR CALMANT CU INDICATII MULTIPLE 40 ML ,13,486.09,578.5,432.25,0,0,53.84,400,537,0
04-Jan-24,94869,CERAVE LOTIUNE HIDRATANTA PENTRU FATA SI CORP PIELE USCATA SI FOARTE USCATA 473ML,4,228.57,272,203.32,0,0,25.25,158,214,0
04-Jan-24,94871,CERAVE GEL DE CURATARE SPUMANT PIELE NORMAL-MIXTA 473ML,7,358.83,427,319.2,0,0,39.63,186,239,0
04-Jan-24,147807,LRP CICAPLAST B5+ BALSAM REPARATOR CALMANT CU INDICATII MULTIPLE 100 ML ,11,647.04,770,574.75,0,0,72.29,267,376,0
05-Jan-24,94869,CERAVE LOTIUNE HIDRATANTA PENTRU FATA SI CORP PIELE USCATA SI FOARTE USCATA 473ML,12,685.69,816,609.96,0,0,75.73,214,202,0
05-Jan-24,144602,"CERAVE CREMA HIDRATANTA DE FATA SPF 50, TEN NORMAL-USCAT 52ml",14,776.42,924,691.6,0,0,84.82,119,105,0
05-Jan-24,140755,LRP ANTHELIOS UV-MUNE FLUID INVIZIBIL SPF 50+ 50ML,2,145.4,173,129.2,0,0,16.2,42,40,0
05-Jan-24,67277,LRP LIPIKAR GEL DE SPALARE PIELE SENSIBILA 750 ML (D),13,636.1,756.99,666.9,133.51,0.176369569,-30.8,235,222,0
05-Jan-24,67074,LRP EFFACLAR GEL SPUMANT PURIFIANT 400 ML,4,277.32,330,247,0,0,30.32,195,191,0
05-Jan-24,147808,LRP CICAPLAST B5+ BALSAM REPARATOR CALMANT CU INDICATII MULTIPLE 40 ML ,11,411.31,489.5,365.75,0,0,45.56,537,526,0
05-Jan-24,69344,VICHY DERCOS SAMPON ANTIMATREATA PAR NORMAL SPRE GRAS 200ML,21,868.19,1033.2,967.68,258.3,0.25,-99.49,329,308,0
05-Jan-24,67303,LRP ANTHELIOS XL SPRAY INVIZIBIL MATIFIANT SPF50+ 75 ML,5,266.8,317.5,237.5,0,0,29.3,28,23,0
05-Jan-24,147790,CERAVE GEL DE CURATARE SPUMANT ANTI-IMPERFECTIUNI 236 ML,7,288.26,343,256.06,0,0,32.2,257,250,0
05-Jan-24,181925,LRP EFFACLAR DUO+M CREMA CORECTOARE CU TRIPLA ACTIUNE 40 ML,10,638.71,760,570,0,0,68.71,476,466,0
05-Jan-24,94871,CERAVE GEL DE CURATARE SPUMANT PIELE NORMAL-MIXTA 473ML,11,563.84,671,501.6,0,0,62.24,239,228,0
05-Jan-24,118033,LRP LIPIKAR BAUME AP+M BALSAM TRIPLA ACTIUNE 400 ML,8,591.59,704,657.44,176,0.25,-65.85,121,113,0
05-Jan-24,147807,LRP CICAPLAST B5+ BALSAM REPARATOR CALMANT CU INDICATII MULTIPLE 100 ML ,10,588.22,700,522.5,0,0,65.72,376,366,0
06-Jan-24,67277,LRP LIPIKAR GEL DE SPALARE PIELE SENSIBILA 750 ML (D),17,831.83,989.9,872.1,174.6,0.176381453,-40.27,222,205,0
06-Jan-24,144602,"CERAVE CREMA HIDRATANTA DE FATA SPF 50, TEN NORMAL-USCAT 52ml",8,443.72,528,395.2,0,0,48.52,105,97,0
06-Jan-24,94869,CERAVE LOTIUNE HIDRATANTA PENTRU FATA SI CORP PIELE USCATA SI FOARTE USCATA 473ML,11,628.59,748,559.13,0,0,69.46,202,191,0
06-Jan-24,94871,CERAVE GEL DE CURATARE SPUMANT PIELE NORMAL-MIXTA 473ML,10,512.56,610,456,0,0,56.56,228,218,0
06-Jan-24,69344,VICHY DERCOS SAMPON ANTIMATREATA PAR NORMAL SPRE GRAS 200ML,18,744.15,885.6,829.44,221.4,0.25,-85.29,308,290,0
06-Jan-24,181925,LRP EFFACLAR DUO+M CREMA CORECTOARE CU TRIPLA ACTIUNE 40 ML,15,958.02,1140,855,0,0,103.02,466,451,0
06-Jan-24,118033,LRP LIPIKAR BAUME AP+M BALSAM TRIPLA ACTIUNE 400 ML,10,739.51,880,821.8,220,0.25,-82.29,113,103,0
06-Jan-24,67074,LRP EFFACLAR GEL SPUMANT PURIFIANT 400 ML,3,207.99,247.5,185.25,0,0,22.74,191,188,0
06-Jan-24,147808,LRP CICAPLAST B5+ BALSAM REPARATOR CALMANT CU INDICATII MULTIPLE 40 ML ,10,373.92,445,332.5,0,0,41.42,526,516,0
06-Jan-24,140755,LRP ANTHELIOS UV-MUNE FLUID INVIZIBIL SPF 50+ 50ML,3,218.07,259.5,193.8,0,0,24.27,40,37,0
06-Jan-24,67303,LRP ANTHELIOS XL SPRAY INVIZIBIL MATIFIANT SPF50+ 75 ML,0,0,0,0,0,0,0,23,23,0
06-Jan-24,147790,CERAVE GEL DE CURATARE SPUMANT ANTI-IMPERFECTIUNI 236 ML,16,658.84,784,585.28,0,0,73.56,250,234,0
06-Jan-24,147807,LRP CICAPLAST B5+ BALSAM REPARATOR CALMANT CU INDICATII MULTIPLE 100 ML ,10,588.2,700,522.5,0,0,65.7,366,356,0
07-Jan-24,67277,LRP LIPIKAR GEL DE SPALARE PIELE SENSIBILA 750 ML (D),19,929.69,1106.36,974.7,195.14,0.176380202,-45.01,205,186,0
07-Jan-24,144602,"CERAVE CREMA HIDRATANTA DE FATA SPF 50, TEN NORMAL-USCAT 52ml",5,277.32,330,247,0,0,30.32,97,92,0
07-Jan-24,147807,LRP CICAPLAST B5+ BALSAM REPARATOR CALMANT CU INDICATII MULTIPLE 100 ML ,6,352.92,420,313.5,0,0,39.42,356,350,0
07-Jan-24,94871,CERAVE GEL DE CURATARE SPUMANT PIELE NORMAL-MIXTA 473ML,12,615.15,732,547.2,0,0,67.95,218,206,0
07-Jan-24,69344,VICHY DERCOS SAMPON ANTIMATREATA PAR NORMAL SPRE GRAS 200ML,12,496.12,590.4,552.96,147.6,0.25,-56.84,290,278,0
07-Jan-24,94869,CERAVE LOTIUNE HIDRATANTA PENTRU FATA SI CORP PIELE USCATA SI FOARTE USCATA 473ML,9,514.24,612,457.47,0,0,56.77,191,182,0
07-Jan-24,147808,LRP CICAPLAST B5+ BALSAM REPARATOR CALMANT CU INDICATII MULTIPLE 40 ML ,8,299.13,356,266,0,0,33.13,516,508,0
07-Jan-24,67074,LRP EFFACLAR GEL SPUMANT PURIFIANT 400 ML,7,485.32,577.5,432.25,0,0,53.07,188,181,0
07-Jan-24,140755,LRP ANTHELIOS UV-MUNE FLUID INVIZIBIL SPF 50+ 50ML,1,72.69,86.5,64.6,0,0,8.09,37,36,0
07-Jan-24,118033,LRP LIPIKAR BAUME AP+M BALSAM TRIPLA ACTIUNE 400 ML,11,813.48,968,903.98,242,0.25,-90.5,103,92,0
07-Jan-24,181925,LRP EFFACLAR DUO+M CREMA CORECTOARE CU TRIPLA ACTIUNE 40 ML,18,1149.65,1368,1026,0,0,123.65,451,433,0
07-Jan-24,67303,LRP ANTHELIOS XL SPRAY INVIZIBIL MATIFIANT SPF50+ 75 ML,0,0,0,0,0,0,0,23,23,0
07-Jan-24,147790,CERAVE GEL DE CURATARE SPUMANT ANTI-IMPERFECTIUNI 236 ML,11,452.99,539,402.38,0,0,50.61,234,223,0
08-Jan-24,147808,LRP CICAPLAST B5+ BALSAM REPARATOR CALMANT CU INDICATII MULTIPLE 40 ML ,7,261.74,311.5,232.75,0,0,28.99,508,501,0
08-Jan-24,118033,LRP LIPIKAR BAUME AP+M BALSAM TRIPLA ACTIUNE 400 ML,7,517.66,616,575.26,154,0.25,-57.6,92,85,0
08-Jan-24,94871,CERAVE GEL DE CURATARE SPUMANT PIELE NORMAL-MIXTA 473ML,4,205.04,244,182.4,0,0,22.64,206,262,0
08-Jan-24,140755,LRP ANTHELIOS UV-MUNE FLUID INVIZIBIL SPF 50+ 50ML,1,72.69,86.5,64.6,0,0,8.09,36,35,0
08-Jan-24,144602,"CERAVE CREMA HIDRATANTA DE FATA SPF 50, TEN NORMAL-USCAT 52ml",3,166.38,198,148.2,0,0,18.18,92,189,0
08-Jan-24,94869,CERAVE LOTIUNE HIDRATANTA PENTRU FATA SI CORP PIELE USCATA SI FOARTE USCATA 473ML,6,342.85,408,304.98,0,0,37.87,182,236,0
08-Jan-24,147807,LRP CICAPLAST B5+ BALSAM REPARATOR CALMANT CU INDICATII MULTIPLE 100 ML ,4,235.28,280,209,0,0,26.28,350,346,0
08-Jan-24,67074,LRP EFFACLAR GEL SPUMANT PURIFIANT 400 ML,3,207.99,247.5,185.25,0,0,22.74,181,178,0
08-Jan-24,181925,LRP EFFACLAR DUO+M CREMA CORECTOARE CU TRIPLA ACTIUNE 40 ML,8,510.97,608,456,0,0,54.97,433,425,0
